🕘️更新时间,#genre#
CCTV-5,http://bztv.tvbus.cc:8081/cdnlive/cctv5.m3u8
CCTV-5,http://204.12.221.218:8181/3m1080p/cctv5.m3u8
CCTV-5,http://222.85.198.92:8000/hls/5/index.m3u8
CCTV-5+,http://118.122.144.115:8888/newlive/live/hls/6/live.m3u8
CCTV-5+,http://222.214.208.34:59901/tsfile/live/0016_1.m3u8
CCTV-5+,http://221.7.175.154:8445/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://lysj.aylzline.top:8899/rtp/225.1.2.48:10282
CCTV-5+,http://183.185.66.248:9003/hls/6/index.m3u8
CCTV-6,http://204.12.221.218:8181/3m1080p/cctv6.m3u8
CCTV-6,http://bztv.tvbus.cc:8081/cdnlive/cctv6.m3u8
CCTV-6,http://lysj.aylzline.top:8899/rtp/225.1.2.143:10876
CCTV-6,http://221.7.175.154:8445/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://222.214.208.34:59901/tsfile/live/0006_1.m3u8
CCTV-7,http://bztv.tvbus.cc:8081/cdnlive/cctv7.m3u8
CCTV-7,http://219.147.245.238:25480/newlive/live/hls/8/live.m3u8
CCTV-7,http://204.12.221.218:8181/3m1080p/cctv7.m3u8
CCTV-7,http://221.7.175.154:8445/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://118.122.144.115:8888/newlive/live/hls/8/live.m3u8
CCTV-8,http://219.147.245.238:25480/newlive/live/hls/9/live.m3u8
CCTV-8,http://118.122.144.115:8888/newlive/live/hls/9/live.m3u8
CCTV-8,http://222.214.208.34:59901/tsfile/live/0008_1.m3u8
CCTV-8,http://bztv.tvbus.cc:8081/cdnlive/cctv8.m3u8
CCTV-8,http://204.12.221.218:8181/3m1080p/cctv8.m3u8
CCTV-9,http://204.12.221.218:8181/3m1080p/cctv9.m3u8
CCTV-9,http://bztv.tvbus.cc:8081/cdnlive/cctv9.m3u8
CCTV-9,http://222.214.208.34:59901/tsfile/live/0009_1.m3u8
CCTV-9,http://219.147.245.238:25480/newlive/live/hls/10/live.m3u8
CCTV-9,http://118.122.144.115:8888/newlive/live/hls/10/live.m3u8
CCTV-10,http://118.122.144.115:8888/newlive/live/hls/11/live.m3u8
CCTV-10,http://222.214.208.34:59901/tsfile/live/0010_1.m3u8
CCTV-10,http://219.147.245.238:25480/newlive/live/hls/11/live.m3u8
CCTV-10,http://204.12.221.218:8181/3m1080p/cctv10.m3u8
CCTV-10,http://bztv.tvbus.cc:8081/cdnlive/cctv10.m3u8
CCTV-11,http://bztv.tvbus.cc:8081/cdnlive/cctv11.m3u8
CCTV-11,http://204.12.221.218:8181/3m1080p/cctv11.m3u8
CCTV-11,http://222.214.208.34:59901/tsfile/live/0011_1.m3u8
CCTV-11,http://222.85.198.92:8000/hls/10/index.m3u8
CCTV-11,http://219.147.245.238:25480/newlive/live/hls/12/live.m3u8
CCTV-12,http://222.223.41.27:8888/hls/12/index.m3u8
CCTV-12,http://219.147.245.238:25480/newlive/live/hls/13/live.m3u8
CCTV-12,http://bztv.tvbus.cc:8081/cdnlive/cctv12.m3u8
CCTV-12,http://204.12.221.218:8181/3m1080p/cctv12.m3u8
CCTV-12,http://222.214.208.34:59901/tsfile/live/0012_1.m3u8
CCTV-13,http://221.7.175.154:8445/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://222.214.208.34:59901/tsfile/live/0013_1.m3u8
CCTV-13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8
CCTV-13,http://bztv.tvbus.cc:8081/cdnlive/cctv13.m3u8
CCTV-13,http://204.12.221.218:8181/3m1080p/cctv13.m3u8
CCTV-14,http://204.12.221.218:8181/3m1080p/cctv14.m3u8
CCTV-14,http://bztv.tvbus.cc:8081/cdnlive/cctv14.m3u8
CCTV-14,http://222.214.208.34:59901/tsfile/live/0014_1.m3u8
CCTV-14,http://219.147.245.238:25480/newlive/live/hls/15/live.m3u8
CCTV-14,http://113.90.154.189:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://bztv.tvbus.cc:8081/cdnlive/cctv15.m3u8
CCTV-15,http://204.12.221.218:8181/3m1080p/cctv15.m3u8
CCTV-15,http://118.122.144.115:8888/newlive/live/hls/16/live.m3u8
CCTV-15,http://222.214.208.34:59901/tsfile/live/0015_1.m3u8
CCTV-15,http://219.147.245.238:25480/newlive/live/hls/16/live.m3u8
CCTV-16,http://204.12.221.218:8181/3m1080p/cctv16.m3u8
CCTV-16,http://bztv.tvbus.cc:8081/cdnlive/cctv16.m3u8
CCTV-16,http://219.147.245.238:25480/newlive/live/hls/17/live.m3u8
CCTV-16,http://118.122.144.115:8888/newlive/live/hls/17/live.m3u8
CCTV-16,http://113.57.140.161:10081/newlive/live/hls/17/live.m3u8
CCTV-17,http://204.12.221.218:8181/3m1080p/cctv17.m3u8
CCTV-17,http://bztv.tvbus.cc:8081/cdnlive/cctv17.m3u8
CCTV-17,http://221.7.175.154:8445/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://120.238.84.45:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://27.39.122.2:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4
广东卫视,http://221.7.175.154:8445/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://113.90.154.189:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://120.40.39.246:352/newlive/live/hls/34/live.m3u8
广东卫视,http://113.57.140.161:10081/newlive/live/hls/34/live.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视,http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8?
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8
湖南卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/Y2RuZXhfaWQ9YWxfaGxzX2xkdnQmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
湖南卫视,http://221.7.175.154:8445/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://xurishangcheng.top:10888/udp/239.49.1.67:8000
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
北京卫视,http://222.169.85.8:9901/tsfile/live/0017_1.m3u8
北京卫视,http://xurishangcheng.top:10888/udp/239.49.0.42:8000
北京卫视,http://36.136.38.87:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://61.161.61.119:9004/hls/30/index.m3u8
北京卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.49:10288
湖北卫视,http://221.226.51.220:50081/newlive/live/hls/36/live.m3u8
湖北卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.90:10534
湖北卫视,http://118.122.144.115:8888/newlive/live/hls/36/live.m3u8
湖北卫视,http://120.40.39.246:352/newlive/live/hls/36/live.m3u8
湖北卫视,http://113.57.140.161:10081/newlive/live/hls/36/live.m3u8
黑龙江卫视,http://221.7.175.154:8445/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://120.40.39.246:352/newlive/live/hls/38/live.m3u8
黑龙江卫视,http://58.56.162.102:4466/newlive/live/hls/38/live.m3u8
黑龙江卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.92:10546
黑龙江卫视,http://61.178.227.57:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://221.7.175.154:8445/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://219.147.245.238:25480/newlive/live/hls/40/live.m3u8
安徽卫视,http://58.56.162.102:4466/newlive/live/hls/40/live.m3u8
安徽卫视,http://gmxw.7766.org:808/hls/40/index.m3u8
安徽卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.88:10522
重庆卫视,http://221.7.175.154:8445/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://112.123.243.37:50085/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://120.237.39.10:9901/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&down=1
重庆卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.75:11590
重庆卫视,http://61.178.227.57:9901/tsfile/live/0142_2.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8
东方卫视,http://221.7.175.154:8445/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8
东方卫视,http://bp-resource-dfl.bestv.cn/155/3/video.m3u8
东方卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.86:10510
东南卫视,http://58.56.162.102:4466/newlive/live/hls/20/live.m3u8
东南卫视,http://120.40.39.246:352/newlive/live/hls/20/live.m3u8
东南卫视,http://221.226.51.220:50081/newlive/live/hls/20/live.m3u8
东南卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.226:11470
东南卫视,http://113.57.140.161:10081/newlive/live/hls/20/live.m3u8
甘肃卫视,http://113.26.202.52:1299/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://120.238.84.45:9901/tsfile/live/1079_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://119.39.9.8:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://218.13.170.98:9901/tsfile/live/0141_1.m3u8
甘肃卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.44:10258
广西卫视,http://221.7.175.154:8445/tsfile/live/0113_2.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.34:10198
广西卫视,http://153.0.171.163:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://111.8.242.142:9999/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://111.8.242.127:9999/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://221.7.175.154:8445/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.109:11632
贵州卫视,http://153.0.171.163:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
贵州卫视,http://221.226.51.220:50081/newlive/live/hls/39/live.m3u8
海南卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.107:11620
海南卫视,http://183.11.239.36:808/hls/124/index.m3u8
海南卫视,http://183.234.143.5:9902/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://121.19.134.101:808/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://175.0.69.253:9002/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://221.7.175.154:8445/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://120.40.39.246:352/newlive/live/hls/33/live.m3u8
河北卫视,http://113.57.140.161:10081/newlive/live/hls/33/live.m3u8
河北卫视,http://221.226.51.220:50081/newlive/live/hls/33/live.m3u8
河北卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.106:11614
河南卫视,http://112.123.243.37:50085/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://221.7.175.154:8445/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://120.237.39.10:9901/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&down=1
河南卫视,http://119.39.9.8:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.99:10588
吉林卫视,http://221.7.175.154:8445/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://111.8.242.142:9999/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://111.8.242.104:8088/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.105:11608
吉林卫视,http://123.130.84.106:8154/tsfile/live/0116_1.m3u8
江苏卫视,http://221.7.175.154:8445/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://119.39.9.8:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://120.40.39.246:352/newlive/live/hls/31/live.m3u8
江苏卫视,http://113.57.140.161:10081/newlive/live/hls/31/live.m3u8
江苏卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.84:10498
江西卫视,http://111.8.242.127:9999/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://221.7.175.154:8445/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://111.8.224.6:9999/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://111.8.242.142:9999/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://111.8.242.104:8088/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://221.7.175.154:8445/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://120.237.39.10:9901/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&down=1
辽宁卫视,http://111.8.242.104:8088/tsfile/live/1060_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://61.178.227.57:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.152:10930
内蒙古卫视,http://222.71.55.147:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=0&authid=0
内蒙古卫视,http://218.13.138.139:59901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://111.8.242.104:8088/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://61.161.61.119:9004/hls/39/index.m3u8
内蒙古卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.38:10222
宁夏卫视,http://222.71.55.147:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=0&authid=0
宁夏卫视,http://111.8.242.127:9999/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://113.26.202.52:1299/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://112.123.243.37:50085/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
宁夏卫视,http://222.169.85.8:9901/tsfile/live/0112_1.m3u8
青海卫视,http://111.8.242.142:9999/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://153.0.171.163:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://111.8.242.127:9999/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://61.178.227.57:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://111.8.242.104:8088/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://120.237.39.10:9901/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&down=1
山东卫视,http://112.123.243.37:50085/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://111.8.242.104:8088/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://113.57.140.161:10081/newlive/live/hls/35/live.m3u8
山东卫视,http://120.40.39.246:352/newlive/live/hls/35/live.m3u8
山西卫视,https://live.264788.xyz/channel/shanxiweishi?streamid=eeb7d60ca6e0db131ea7a092a3cd28d2&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
山西卫视,https://live.264788.xyz/channel/shanxiweishi?streamid=69e002ac7467d661ff7ad0671ed43f16&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
山西卫视,http://119.39.9.8:9901/tsfile/live/0118_1.m3u8
山西卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.37:10216
陕西卫视,https://live.264788.xyz/channel/shaanxiweishi?streamid=9dc887dba8ecb4e4143baf4f2373800c&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
陕西卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.36:10210
四川卫视,http://221.7.175.154:8445/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://120.238.84.45:9901/tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://111.8.242.104:8088/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.108:11626
四川卫视,http://61.178.227.57:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://221.7.175.154:8445/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://113.90.154.189:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://120.40.39.246:352/newlive/live/hls/37/live.m3u8
深圳卫视,http://221.226.51.220:50081/newlive/live/hls/37/live.m3u8
深圳卫视,http://58.56.162.102:4466/newlive/live/hls/37/live.m3u8
三沙卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.225:11464
三沙卫视,http://39.164.143.66:13994/tsfile/live/1035_1.m3u8?key=txiptv&playlive=0&authid=0
三沙卫视,http://119.166.53.110:9901/tsfile/live/0002_60.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://221.7.175.154:8445/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.87:10516
天津卫视,http://111.8.242.104:8088/tsfile/live/1069_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://112.123.243.37:50085/tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://111.8.224.6:9999/tsfile/live/1069_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://218.13.138.139:59901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://222.71.55.147:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=0&authid=0
西藏卫视,http://112.123.243.37:50085/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
西藏卫视,http://221.7.175.154:8445/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://183.11.239.36:808/hls/64/index.m3u8
新疆卫视,http://222.71.55.147:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=0&authid=0
新疆卫视,http://111.8.224.6:9999/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://111.8.242.142:9999/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://1.192.152.76:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://218.13.138.139:59901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://120.237.39.10:9901/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&down=1
云南卫视,http://112.123.243.37:50085/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://120.198.95.220:9901/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&down=1
云南卫视,http://111.8.242.104:8088/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.76:11596
